"id"	"name"
"1"	"ENSG00000186092.5"	"OR4F5"
"2"	"ENSG00000284733.1"	"OR4F29"
"3"	"ENSG00000284662.1"	"OR4F16"
"4"	"ENSG00000187634.11"	"SAMD11"
"5"	"ENSG00000188976.10"	"NOC2L"
"6"	"ENSG00000187961.13"	"KLHL17"
"7"	"ENSG00000187583.10"	"PLEKHN1"
"8"	"ENSG00000187642.9"	"PERM1"
"9"	"ENSG00000188290.10"	"HES4"
"10"	"ENSG00000187608.8"	"ISG15"
"11"	"ENSG00000188157.14"	"AGRN"
"12"	"ENSG00000237330.2"	"RNF223"
"13"	"ENSG00000131591.17"	"C1orf159"
"14"	"ENSG00000162571.13"	"TTLL10"
"15"	"ENSG00000186891.13"	"TNFRSF18"
"16"	"ENSG00000186827.10"	"TNFRSF4"
"17"	"ENSG00000078808.16"	"SDF4"
"18"	"ENSG00000176022.4"	"B3GALT6"
"19"	"ENSG00000184163.3"	"C1QTNF12"
"20"	"ENSG00000160087.20"	"UBE2J2"
"21"	"ENSG00000162572.20"	"SCNN1D"
"22"	"ENSG00000131584.18"	"ACAP3"
"23"	"ENSG00000169972.11"	"PUSL1"
"24"	"ENSG00000127054.20"	"INTS11"
"25"	"ENSG00000224051.6"	"CPTP"
"26"	"ENSG00000169962.4"	"TAS1R3"
"27"	"ENSG00000107404.19"	"DVL1"
"28"	"ENSG00000162576.16"	"MXRA8"
"29"	"ENSG00000175756.13"	"AURKAIP1"
"30"	"ENSG00000221978.11"	"CCNL2"
"31"	"ENSG00000242485.5"	"MRPL20"
"32"	"ENSG00000235098.8"	"ANKRD65"
"33"	"ENSG00000205116.3"	"TMEM88B"
"34"	"ENSG00000179403.11"	"VWA1"
"35"	"ENSG00000215915.9"	"ATAD3C"
"36"	"ENSG00000160072.19"	"ATAD3B"
"37"	"ENSG00000197785.13"	"ATAD3A"
"38"	"ENSG00000205090.8"	"TMEM240"
"39"	"ENSG00000160075.11"	"SSU72"
"40"	"ENSG00000228594.3"	"FNDC10"
"41"	"ENSG00000197530.12"	"MIB2"
"42"	"ENSG00000189409.13"	"MMP23B"
"43"	"ENSG00000248333.8"	"CDK11B"
"44"	"ENSG00000189339.11"	"SLC35E2B"
"45"	"ENSG00000008128.22"	"CDK11A"
"46"	"ENSG00000215790.6"	"SLC35E2"
"47"	"ENSG00000008130.15"	"NADK"
"48"	"ENSG00000078369.17"	"GNB1"
"49"	"ENSG00000169885.9"	"CALML6"
"50"	"ENSG00000178821.12"	"TMEM52"
"51"	"ENSG00000142609.17"	"CFAP74"
"52"	"ENSG00000187730.8"	"GABRD"
"53"	"ENSG00000067606.16"	"PRKCZ"
"54"	"ENSG00000162585.16"	"FAAP20"
"55"	"ENSG00000157933.9"	"SKI"
"56"	"ENSG00000116151.13"	"MORN1"
"57"	"ENSG00000157916.19"	"RER1"
"58"	"ENSG00000157911.9"	"PEX10"
"59"	"ENSG00000149527.17"	"PLCH2"
"60"	"ENSG00000157881.13"	"PANK4"
"61"	"ENSG00000197921.5"	"HES5"
"62"	"ENSG00000157873.17"	"TNFRSF14"
"63"	"ENSG00000157870.14"	"FAM213B"
"64"	"ENSG00000142606.15"	"MMEL1"
"65"	"ENSG00000215912.12"	"TTC34"
"66"	"ENSG00000169717.6"	"ACTRT2"
"67"	"ENSG00000142611.16"	"PRDM16"
"68"	"ENSG00000130762.14"	"ARHGEF16"
"69"	"ENSG00000162591.15"	"MEGF6"
"70"	"ENSG00000158109.14"	"TPRG1L"
"71"	"ENSG00000116213.15"	"WRAP73"
"72"	"ENSG00000078900.14"	"TP73"
"73"	"ENSG00000162592.9"	"CCDC27"
"74"	"ENSG00000235169.7"	"SMIM1"
"75"	"ENSG00000130764.9"	"LRRC47"
"76"	"ENSG00000116198.12"	"CEP104"
"77"	"ENSG00000169598.15"	"DFFB"
"78"	"ENSG00000198912.10"	"C1orf174"
"79"	"ENSG00000196581.10"	"AJAP1"
"80"	"ENSG00000131697.17"	"NPHP4"
"81"	"ENSG00000069424.14"	"KCNAB2"
"82"	"ENSG00000116254.17"	"CHD5"
"83"	"ENSG00000116251.9"	"RPL22"
"84"	"ENSG00000158286.12"	"RNF207"
"85"	"ENSG00000116237.15"	"ICMT"
"86"	"ENSG00000173673.7"	"HES3"
"87"	"ENSG00000158292.6"	"GPR153"
"88"	"ENSG00000097021.19"	"ACOT7"
"89"	"ENSG00000069812.11"	"HES2"
"90"	"ENSG00000187017.15"	"ESPN"
"91"	"ENSG00000215788.9"	"TNFRSF25"
"92"	"ENSG00000171680.21"	"PLEKHG5"
"93"	"ENSG00000162408.10"	"NOL9"
"94"	"ENSG00000173662.20"	"TAS1R1"
"95"	"ENSG00000204859.12"	"ZBTB48"
"96"	"ENSG00000162413.16"	"KLHL21"
"97"	"ENSG00000116273.5"	"PHF13"
"98"	"ENSG00000041988.15"	"THAP3"
"99"	"ENSG00000007923.15"	"DNAJC11"
"100"	"ENSG00000171735.18"	"CAMTA1"
"101"	"ENSG00000049245.12"	"VAMP3"
"102"	"ENSG00000049246.14"	"PER3"
"103"	"ENSG00000049247.13"	"UTS2"
"104"	"ENSG00000049249.8"	"TNFRSF9"
"105"	"ENSG00000116288.12"	"PARK7"
"106"	"ENSG00000116285.12"	"ERRFI1"
"107"	"ENSG00000162426.14"	"SLC45A1"
"108"	"ENSG00000142599.17"	"RERE"
"109"	"ENSG00000074800.13"	"ENO1"
"110"	"ENSG00000131686.14"	"CA6"
"111"	"ENSG00000197241.3"	"SLC2A7"
"112"	"ENSG00000142583.17"	"SLC2A5"
"113"	"ENSG00000180758.11"	"GPR157"
"114"	"ENSG00000049239.12"	"H6PD"
"115"	"ENSG00000171621.13"	"SPSB1"
"116"	"ENSG00000171612.6"	"SLC25A33"
"117"	"ENSG00000188807.12"	"TMEM201"
"118"	"ENSG00000171608.15"	"PIK3CD"
"119"	"ENSG00000171603.16"	"CLSTN1"
"120"	"ENSG00000178585.14"	"CTNNBIP1"
"121"	"ENSG00000162441.11"	"LZIC"
"122"	"ENSG00000173614.13"	"NMNAT1"
"123"	"ENSG00000162444.11"	"RBP7"
"124"	"ENSG00000130939.18"	"UBE4B"
"125"	"ENSG00000054523.17"	"KIF1B"
"126"	"ENSG00000142657.20"	"PGD"
"127"	"ENSG00000251503.8"	"CENPS-CORT"
"128"	"ENSG00000175279.21"	"CENPS"
"129"	"ENSG00000241563.3"	"CORT"
"130"	"ENSG00000160049.11"	"DFFA"
"131"	"ENSG00000142655.12"	"PEX14"
"132"	"ENSG00000130940.14"	"CASZ1"
"133"	"ENSG00000175262.14"	"C1orf127"
"134"	"ENSG00000120948.16"	"TARDBP"
"135"	"ENSG00000277726.4"	"AL109811.4"
"136"	"ENSG00000009724.16"	"MASP2"
"137"	"ENSG00000116649.9"	"SRM"
"138"	"ENSG00000171824.13"	"EXOSC10"
"139"	"ENSG00000198793.12"	"MTOR"
"140"	"ENSG00000171819.4"	"ANGPTL7"
"141"	"ENSG00000120942.13"	"UBIAD1"
"142"	"ENSG00000204624.7"	"DISP3"
"143"	"ENSG00000116661.10"	"FBXO2"
"144"	"ENSG00000132879.13"	"FBXO44"
"145"	"ENSG00000116663.10"	"FBXO6"
"146"	"ENSG00000116670.14"	"MAD2L2"
"147"	"ENSG00000162490.6"	"DRAXIN"
"148"	"ENSG00000177674.15"	"AGTRAP"
"149"	"ENSG00000215910.7"	"C1orf167"
"150"	"ENSG00000177000.11"	"MTHFR"
"151"	"ENSG00000011021.21"	"CLCN6"
"152"	"ENSG00000175206.10"	"NPPA"
"153"	"ENSG00000120937.8"	"NPPB"
"154"	"ENSG00000116685.15"	"KIAA2013"
"155"	"ENSG00000083444.16"	"PLOD1"
"156"	"ENSG00000116688.16"	"MFN2"
"157"	"ENSG00000116691.10"	"MIIP"
"158"	"ENSG00000120949.14"	"TNFRSF8"
"159"	"ENSG00000028137.18"	"TNFRSF1B"
"160"	"ENSG00000048707.13"	"VPS13D"
"161"	"ENSG00000162496.8"	"DHRS3"
"162"	"ENSG00000204518.2"	"AADACL4"
"163"	"ENSG00000188984.11"	"AADACL3"
"164"	"ENSG00000157330.9"	"C1orf158"
"165"	"ENSG00000116726.4"	"PRAMEF12"
"166"	"ENSG00000116721.9"	"PRAMEF1"
"167"	"ENSG00000239810.3"	"PRAMEF11"
"168"	"ENSG00000179172.9"	"HNRNPCL1"
"169"	"ENSG00000120952.4"	"PRAMEF2"
"170"	"ENSG00000243073.3"	"PRAMEF4"
"171"	"ENSG00000187545.5"	"PRAMEF10"
"172"	"ENSG00000204510.5"	"PRAMEF7"
"173"	"ENSG00000232423.6"	"PRAMEF6"
"174"	"ENSG00000274764.5"	"PRAMEF27"
"175"	"ENSG00000277058.2"	"HNRNPCL3"
"176"	"ENSG00000229571.7"	"PRAMEF25"
"177"	"ENSG00000275774.2"	"HNRNPCL2"
"178"	"ENSG00000280267.4"	"PRAMEF26"
"179"	"ENSG00000179412.10"	"HNRNPCL4"
"180"	"ENSG00000204505.4"	"PRAMEF9"
"181"	"ENSG00000279169.2"	"PRAMEF13"
"182"	"ENSG00000279804.2"	"PRAMEF18"
"183"	"ENSG00000270601.4"	"PRAMEF5"
"184"	"ENSG00000182330.10"	"PRAMEF8"
"185"	"ENSG00000237700.2"	"PRAMEF33"
"186"	"ENSG00000204501.7"	"PRAMEF15"
"187"	"ENSG00000204481.7"	"PRAMEF14"
"188"	"ENSG00000204480.7"	"PRAMEF19"
