id	name
ENSG00000239906.1	AL627309.2
ENSG00000229905.1	AL669831.2
ENSG00000237491.8	AL669831.5
ENSG00000177757.2	FAM87B
ENSG00000228794.8	LINC01128
ENSG00000225880.5	LINC00115
ENSG00000230368.2	FAM41C
ENSG00000272438.1	AL645608.7
ENSG00000230699.2	AL645608.3
ENSG00000223764.2	AL645608.1
ENSG00000272512.1	AL645608.8
ENSG00000273443.1	AL645608.9
ENSG00000223823.1	LINC01342
ENSG00000272141.1	AL390719.2
ENSG00000260179.1	AL162741.1
ENSG00000230415.1	LINC01786
ENSG00000224870.6	AL391244.1
ENSG00000272455.1	AL391244.3
ENSG00000225905.1	AL391244.2
ENSG00000225285.1	LINC01770
ENSG00000215014.4	AL645728.1
ENSG00000272106.1	AL691432.2
ENSG00000231050.1	AL109917.1
ENSG00000233542.1	AL391845.2
ENSG00000234396.3	AL590822.1
ENSG00000272449.1	AL139246.5
ENSG00000238164.6	TNFRSF14-AS1
ENSG00000225931.3	AL139246.2
ENSG00000228037.1	AL139246.3
ENSG00000177133.10	LINC00982
ENSG00000272088.1	AL512413.1
ENSG00000238260.1	AL513320.1
ENSG00000236423.5	LINC01134
ENSG00000225077.2	LINC00337
ENSG00000237436.1	AL590128.2
ENSG00000284747.1	AL034417.4
ENSG00000284716.1	AL034417.3
ENSG00000238290.1	AL034417.2
ENSG00000230679.1	ENO1-AS1
ENSG00000228526.6	MIR34AHG
ENSG00000234546.3	LINC01759
ENSG00000284693.1	AL928921.2
ENSG00000284735.1	AL139424.3
ENSG00000284642.1	AL139424.2
ENSG00000230337.1	AL109811.2
ENSG00000242349.5	NPPA-AS1
ENSG00000229484.1	AC243836.1
ENSG00000272482.1	AC254633.1
ENSG00000175147.11	TMEM51-AS1
ENSG00000179743.4	FLJ37453
ENSG00000227959.1	AL451042.2
ENSG00000224621.1	AL451042.1
ENSG00000226029.1	LINC01772
ENSG00000261135.1	AL137802.2
ENSG00000224174.2	AL137802.1
ENSG00000271732.1	AL137798.1
ENSG00000230424.1	AL035413.1
ENSG00000227066.1	Z98257.1
ENSG00000225986.1	UBXN10-AS1
ENSG00000117242.7	PINK1-AS
ENSG00000228397.2	LINC01635
ENSG00000271840.1	AL031281.2
ENSG00000261326.2	LINC01355
ENSG00000284726.1	AL109936.8
ENSG00000249087.6	ZNF436-AS1
ENSG00000271420.1	AL109936.2
ENSG00000235052.1	AL021154.1
ENSG00000236810.5	ELOA-AS1
ENSG00000225315.2	AL591178.1
ENSG00000284602.1	AL031432.4
ENSG00000284657.1	AL031432.5
ENSG00000225643.1	AL606491.1
ENSG00000260063.1	AL512408.1
ENSG00000237429.1	BX293535.1
ENSG00000233975.1	AL445490.2
ENSG00000271398.1	AL353622.2
ENSG00000279443.1	AL513497.1
ENSG00000197989.13	SNHG12
ENSG00000229388.1	LINC01715
ENSG00000270103.3	AL360012.1
ENSG00000186056.9	MATN1-AS1
ENSG00000223382.4	LINC01778
ENSG00000284543.1	LINC01226
ENSG00000229167.1	AC114488.1
ENSG00000278966.2	AL031602.1
ENSG00000278997.1	AL662907.1
ENSG00000241014.1	AC114490.1
ENSG00000116883.8	AL591845.1
ENSG00000233621.1	LINC01137
ENSG00000224592.5	AL139158.2
ENSG00000228436.2	AL139260.1
ENSG00000182109.7	AL365277.1
ENSG00000261798.1	AL033527.3
ENSG00000284719.1	AL033527.5
ENSG00000284678.1	AL033527.4
ENSG00000259943.1	AL050341.2
ENSG00000260920.2	AL031985.3
ENSG00000279667.1	AL603839.4
ENSG00000238287.1	AL603839.3
ENSG00000238186.1	AL603839.2
ENSG00000237899.1	AL031289.1
